#* Remote control CODEs captured on ESP IR receiver with dump NEC enabled
# Button names starting with "??" are not on remote, but remote behavior reflects it
# Pawelo, 20241219, Capturing Apple TV and Smart TV remote codes
# Pawelo, 20241220, Capturing LG TV, Yamaha AV and Yamaha BD remote codes
# Pawelo, 20241220, Capturing CREATIVE remote codes

Remote Model,Button,CODE sent by remote
Apple TV Remote,MENU,Received NEC: address=0x87EE, command=0xB603 command_repeats=1
Apple TV Remote,PLAY/PAUSE,Received NEC: address=0x87EE, command=0xB65F command_repeats=1,Received NEC: address=0x87EE, command=0xB605 command_repeats=1
Apple TV Remote,OK,Received NEC: address=0x87EE, command=0xB65C command_repeats=1,Received NEC: address=0x87EE, command=0xB605 command_repeats=1
Apple TV Remote,UP,Received NEC: address=0x87EE, command=0xB60A command_repeats=1
Apple TV Remote,RIGHT,Received NEC: address=0x87EE, command=0xB606 command_repeats=1
Apple TV Remote,DOWN,Received NEC: address=0x87EE, command=0xB60C command_repeats=1
Apple TV Remote,LEFT,Received NEC: address=0x87EE, command=0xB609 command_repeats=1
NanoPC Remote,POWER,Received NEC: address=0xC43B, command=0xFF00 command_repeats=1
NanoPC Remote,LEFT,Received NEC: address=0xC43B, command=0xEF00 command_repeats=1
NanoPC Remote,RIGHT,Received NEC: address=0xC43B, command=0xED00 command_repeats=1
NanoPC Remote,UP,Received NEC: address=0xC43B, command=0xF200 command_repeats=1
NanoPC Remote,DOWN,Received NEC: address=0xC43B, command=0xEA00 command_repeats=1
NanoPC Remote,ENTER,Received NEC: address=0xC43B, command=0xEE00 command_repeats=1
NanoPC Remote,?? OK,Received NEC: address=0xC43B, command=0xEE00 command_repeats=1
NanoPC Remote,MUTE,Received NEC: address=0xC43B, command=0xE900 command_repeats=1
NanoPC Remote,VOLUMEDOWN,Received NEC: address=0xC43B, command=0xF100 command_repeats=1
NanoPC Remote,VOLUMEUP,Received NEC: address=0xC43B, command=0xF300 command_repeats=1
NanoPC Remote,MENU,Received NEC: address=0xC43B, command=0xAE00 command_repeats=1
NanoPC Remote,LEFTMETA,Received NEC: address=0xC43B, command=0xEB00 command_repeats=1
NanoPC Remote,?? HOME,Received NEC: address=0xC43B, command=0xEB00 command_repeats=1
NanoPC Remote,BACK,Received NEC: address=0xC43B, command=0xAF00 command_repeats=1
NanoPC Remote,MODE,Received NEC: address=0xC43B, command=0xF700 command_repeats=1
NanoPC Remote,SYSRQ,Received NEC: address=0xC43B, command=0xE500 command_repeats=1
NanoPC Remote,ESC,Received NEC: address=0xC43B, command=0xF500 command_repeats=1
Smart TV Remote,POWER,Received NEC: address=0x7F80, command=0xAE51 command_repeats=1
Smart TV Remote,MUTE,Received NEC: address=0x7F80, command=0xB24D command_repeats=1
Smart TV Remote,HOME,Received NEC: address=0x7F80, command=0xAC53 command_repeats=1
Smart TV Remote,OK,Received NEC: address=0x7F80, command=0xDA25 command_repeats=1
Smart TV Remote,?? ENTER,Received NEC: address=0x7F80, command=0xDA25 command_repeats=1
Smart TV Remote,UP,Received NEC: address=0x7F80, command=0xD926 command_repeats=1
Smart TV Remote,LEFT,Received NEC: address=0x7F80, command=0xDA25 command_repeats=1
Smart TV Remote,RIGHT,Received NEC: address=0x7F80, command=0xD827 command_repeats=1
Smart TV Remote,DOWN,Received NEC: address=0x7F80, command=0xD728 command_repeats=1
Smart TV Remote,MENU,Received NEC: address=0x7F80, command=0xB649 command_repeats=1
Smart TV Remote,BACK,Received NEC: address=0x7F80, command=0xE41B command_repeats=1
Smart TV Remote,VOLUMEDOWN,Received NEC: address=0x7F80, command=0xA956 command_repeats=1
